School_ID,School_Name,LGA,Zone,School_Type,Status
B-MA-PR-001,31 AB BDE PRIMARY SCHOOL NORTH BANK,MAKURDI,B,Primary School,Active
B-MA-PR-002,72 UNICORD PRIMARY SCHOOL NORTH BANK,MAKURDI,B,Primary School,Active
B-MA-PR-003,ALL SAINTS ANGLICAN PRIMARY SCHOOL MAKURDI,MAKURDI,B,Primary School,Active
A-LO-PR-001,ANGLICAN PRIMARY SCHOOL ADA,LOGO,A,Primary School,Active
A-UK-PR-001,ANGLICAN PRIMARY SCHOOL ALABAR,UKUM,A,Primary School,Active
B-BU-PR-001,ANGLICAN PRIMARY SCHOOL ANGOUGH,BURUKU,B,Primary School,Inactive
B-BU-PR-002,ANGLICAN PRIMARY SCHOOL IMENGER,BURUKU,B,Primary School,Active
A-LO-PR-002,ANGLICAN PRIMARY SCHOOL INGBIAN,LOGO,A,Primary School,Active
B-BU-PR-003,ANGLICAN PRIMARY SCHOOL INYOM,BURUKU,B,Primary School,Active
C-AG-PR-001,ANGLICAN PRIMARY SCHOOL OBAGAJI,AGATU,C,Primary School,Active
A-KO-PR-001,ANGLICAN PRIMARY SCHOOL TSUWE,KONSHISHA,A,Primary School,Active
B-BU-PR-004,ANGLICAN PRIMARY SCHOOL TYOAMBGHIR,BURUKU,B,Primary School,Inactive
B-BU-PR-005,ANGLICAN PRIMARY SCHOOL UGANGESE,BURUKU,B,Primary School,Active
A-UK-PR-002,ANGLICAN PRIMARY SCHOOL ZAKIBIAM,UKUM,A,Primary School,Active
A-LO-PR-003,ANGLICAN PRIMARYSCHOOL SEVAV,LOGO,A,Primary School,Active
C-AP-PR-001,APS PRIMARY SCHOOL AJIBE OJIJI,APA,C,Primary School,Active
C-AP-PR-002,APS PRIMARY SCHOOL IGA OKPAYA,APA,C,Primary School,Inactive
C-AP-PR-003,APS PRIMARY SCHOOL OJINAGWU CAMP,APA,C,Primary School,Active
C-AP-PR-004,APS PRIMARY SCHOOL OLADOGA,APA,C,Primary School,Active
C-AP-PR-005,APS PRIMARY SCHOOL OPE IKOBI,APA,C,Primary School,Active
C-AP-PR-006,APS PRIMARY SCHOOL OSHODI OIJI,APA,C,Primary School,Active
B-MA-PR-004,ARABIC PRIMARY SCHOOL MAKURDI,MAKURDI,B,Primary School,Active
B-GB-PR-001,ASSEMBLIES OF GOD PRIMARY SCHOOL YANDEV,GBOKO,B,Primary School,Inactive
C-OT-PR-001,BAPTIST PRIMARY SCHOOL II OPA,OTUKPO,C,Primary School,Active
B-GU-PR-001,BAPTIST PRIMARY SCHOOL UDEI,GUMA,B,Primary School,Active
C-AP-PR-007,BPS PRIMARY SCHOOL IGA OKPAYA,APA,C,Primary School,Active
B-MA-PR-005,CAC PRIMARYMARYARY SCHOOL WADATA MAKURDI,MAKURDI,B,Primary School,Inactive
A-KA-UB-001,CENTRAL UBE JUNIOR SECONDARY SCHOOL KATSINA-ALA,KATSINA-ALA,A,UBE JSS,Active
A-LO-PR-004,ECCDE AGERAGA,LOGO,A,Primary School,Active
A-LO-PR-005,ECCDE MBAIFU,LOGO,A,Primary School,Active
B-MA-PR-006,EKAN PRIMARYMARYARY SCHOOL MAKURDI,MAKURDI,B,Primary School,Inactive
A-VA-PR-001,HOLY EMMANUEL PRIMARY SCHOOL TSEBEGHA UTE,VANDEIKYA,A,Primary School,Active
